Estado,por_des_15,po_per_pob,por_sin_seg,por_car_salud,por_car_alim,por_po_patr,gini,por_car_haci
Distrito Federal,1.617130041,20.60429786,24.86527061,21.51880074,4.798699856,26.01300049,0.411109596,3.568399906
Durango,13.88374996,83.34614076,32.24163055,31.83539963,54.20619965,86.00160217,0.355566293,8.028280258
Guanajuato,10.82538033,55.19296974,28.76638985,24.95231056,19.45400047,55.32229996,0.420863211,9.553440094
Guerrero,35.47346115,91.66714902,49.25880051,49.89294052,66.02780151,91.60030365,0.341849595,47.17945099
Hidalgo,23.74608994,82.98750775,44.24020004,41.0975914,38.98759842,73.48829651,0.379882693,25.92827988
Jalisco,3.768130064,28.2599532,26.52209091,26.89201927,4.629799843,23.09959984,0.452555805,5.787650108
Mexico,2.879050016,39.17424528,40.82294846,41.29304123,17.875,53.84870148,0.3763282,6.878600121
Michoacan de Ocampo,19.03969002,76.59310756,65.29541779,55.81163025,28.67410088,63.53450012,0.488664597,22.01404953
Morelos,6.715079784,57.33835432,45.8375206,43.68001938,16.87479973,47.0868988,0.565478981,18.87381935
Nayarit,6.789519787,37.89686514,18.85876083,12.56554985,10.12479973,38.95619965,0.414457411,4.625520229
Nuevo Leon,4.507890224,32.34910502,17.68806076,15.06276035,4.10010004,24.97060013,0.395472109,5.936190128
Oaxaca,17.5,74.86272874,39.28929901,43.05509186,29.00510025,64.89369965,0.375019103,18.71084023
Puebla,14.84737015,78.76361421,40.69089127,43.54072952,34.80830002,73.27980042,0.354413211,16.59995079
Queretaro,17.11828041,84.58410755,10.63374043,7.577340126,55.37950134,85.06520081,0.374154299,23.46253967
Quintana Roo,14.00282001,71.62129001,25.23658943,20.66053009,50.68830109,83.14710236,0.422923893,35.3009491
San Luis Potosi,16.62779999,84.05377376,17.96969986,14.71321964,48.86130142,83.26339722,0.325445712,17.38511086
Sinaloa,5.082320213,52.43552985,17.61384964,8.472109795,8.756500244,35.52140045,0.370220989,10.90408993
Sonora,2.032040119,46.17536659,37.16040039,36.85314941,18.36940002,57.15439987,0.360226393,7.41782999
Tabasco,7.354599953,65.2896954,28.82555008,20.9425602,29.69709969,66.32649994,0.454190105,11.12878036
Tamaulipas,7.772019863,57.61153474,14.73363018,12.47317982,15.15610027,48.45660019,0.446107805,12.47317982
Tlaxcala,2.344480038,37.5440815,35.06473923,38.13793945,4.920899868,23.01539993,0.444164097,6.07487011
Veracruz de Ignacio de la Llave,10.68916988,78.58077097,52.64181137,53.09296036,33.81850052,75.47519684,0.298281312,8.203769684
Yucatan,11.24044991,59.93190534,34.57651138,43.0449295,17.95350075,52.56060028,0.354319513,29.18852043
Zacatecas,7.493309975,69.30552369,23.39660072,23.58742905,31.26429939,71.0428009,0.349485815,6.071209908
Aguascalientes,6.165589809,61.3605272,17.11060905,16.3463707,19.26679993,56.50490189,0.386780888,9.229390144
Baja California,2.444780111,20.33151185,23.10272026,21.54007912,7.205299854,33.88840103,0.415796399,4.852389812
Baja California Sur,2.334089994,24.67438776,21.57295036,21.8431797,6.054299831,30.23539925,0.421335697,4.658740044
Campeche,5.409850121,41.08082972,24.27655029,14.16866016,15.93299961,47.60089874,0.462395906,18.5683403
Coahuila de Zaragoza,2.746870041,20.19879094,14.18743038,11.50527,10.55140018,44.05220032,0.368486285,3.515500069
Colima,5.32791996,53.65413909,18.94868088,21.15173912,11.10589981,38.64220047,0.455895811,15.42780972
Chiapas,18.0203495,80.8716354,47.9296608,42.43074036,40.98989868,77.81390381,0.345517486,29.89607048
Chihuahua,4.475969791,50.3666184,51.86109924,59.24674988,7.854199886,32.61059952,0.447248489,7.520020008
Distrito Federal,1.536610007,19.9958167,29.68717957,29.63355064,4.52670002,22.65060043,0.426380098,4.906159878
Durango,4.836510181,69.65498041,30.99337959,31.47373009,34.31510162,74.7818985,0.306881905,5.206880093
Guanajuato,11.91316032,63.68684737,34.43320084,31.06204033,36.12129974,70.47879791,0.486469209,18.71878052
Guerrero,22.09362984,83.03186339,73.25863647,54.71889877,52.55400085,82.6427002,0.400138795,44.51337814
Hidalgo,5.681910038,57.27208956,40.87919998,38.84968948,18.51329994,53.96009827,0.453604996,5.086009979
Jalisco,4.792019844,47.75759187,25.99245071,25.66460037,12.37759972,42.61389923,0.398241907,5.035729885
Mexico,11.2329998,57.42909183,23.38307953,19.36867905,25.04059982,60.42300034,0.427491188,10.31147003
Michoacan de Ocampo,11.84385967,63.04534735,53.19179153,68.46150208,22.40189934,61.13389969,0.361704111,6.61909008
Morelos,14.23878956,60.33362108,33.18889999,35.48069,28.15749931,66.97470093,0.42234391,17.04836082
Nayarit,8.560640335,39.07933884,16.94672966,14.85426044,11.08360004,42.24869919,0.400518686,5.414669991
Nuevo Leon,5.752639771,43.8317388,34.86172104,36.27907181,6.947400093,34.0461998,0.393409491,3.410850048
Oaxaca,30.96026039,86.42325521,69.93988037,70.14141846,52.12149811,86.21779633,0.314847291,12.43418026
Puebla,11.87924957,73.75592342,47.42950058,45.69210052,32.33750153,68.31690216,0.476736188,22.96537971
Queretaro,14.56186962,72.10194714,15.68552017,18.7588501,33.77149963,72.01830292,0.361646414,10.48451042
Quintana Roo,4.044569969,45.21604925,27.7479496,22.12339973,7.500199795,28.64830017,0.446216285,29.02728081
San Luis Potosi,22.96497917,89.50741931,17.8373394,27.26803017,60.97079849,88.00689697,0.3784253,29.64093971
Sinaloa,11.63683987,74.79692296,19.79398918,14.37242031,36.38740158,72.79920197,0.375228107,21.96385002
Sonora,11.52717018,65.04603647,17.34757042,14.80331993,24.73049927,59.32960129,0.430926412,17.59374046
Tabasco,8.114190102,69.33469819,28.76211929,25.57772064,33.57440186,71.72260284,0.389132291,22.32128906
Tamaulipas,3.830699921,47.64570321,25.36072922,26.7827301,16.85619926,55.32590103,0.374369115,10.09294033
Tlaxcala,8.937859535,66.67600013,22.16683006,20.27102089,25.37240028,66.05999756,0.320581585,12.62458038
Veracruz de Ignacio de la Llave,13.60151958,71.33106748,47.28039169,29.88968086,31.18350029,72.08719635,0.367649704,23.72026062
Yucatan,15.10669041,73.07008202,28.17988968,30.15254974,37.49649811,74.36129761,0.361147106,29.17884064
Zacatecas,9.139269829,63.82380815,36.29272079,36.39178848,16.48800087,52.16059875,0.367382288,4.065040112
Aguascalientes,4.317580223,52.8004579,13.90771961,10.3517704,14.30319977,51.16450119,0.344984204,9.330260277
Baja California,2.087090015,32.77951305,34.08198929,31.8094101,11.19330025,44.0821991,0.388998598,5.588870049
Campeche,12.16022015,63.20129359,22.95684052,19.92292976,26.96360016,66.15280151,0.383222789,19.97833061
Coahuila de Zaragoza,6.329760075,50.31606666,27.88324928,29.29306984,11.04990005,43.22090149,0.385713309,8.224989891
Colima,8.167090416,45.65750484,16.29095078,16.38536072,9.366900444,36.80260086,0.402240098,10.77532959
Chiapas,31.46883965,92.33009031,64.29264832,73.2253418,71.79190063,90.88980103,0.430138201,33.92269135
Chihuahua,3.368249893,24.56474544,11.34918022,11.98960972,2.857500076,18.42670059,0.359733909,6.013360023
Distrito Federal,2.346699953,19.71041442,31.02564049,35.12919998,8.134799957,33.85229874,0.433196306,6.823110104
Durango,4.088469982,55.76104874,28.92110062,27.90237999,13.80010033,46.46780014,0.358447492,8.069199562
Guanajuato,11.40120029,57.81389257,33.72185135,33.74174118,27.19280052,66.31539917,0.395448297,7.934679985
Guerrero,49.7274704,92.29565836,24.13684082,24.35190964,73.87709808,93.82440186,0.367332786,40.8782692
Hidalgo,17.38187027,76.34910471,72.29264069,80.98117828,38.2840004,75.1772995,0.436748594,11.82796001
Jalisco,6.346399784,59.34634322,31.77636909,34.49477005,11.38290024,42.35520172,0.388460904,7.855559826
Mexico,11.50570965,71.8176708,24.32014084,24.1149807,35.07749939,70.22299957,0.443536609,12.77258968
Michoacan de Ocampo,12.12322998,60.91797528,46.96268082,61.14789963,23.39559937,62.94020081,0.353226602,8.886989594
Morelos,10.35875034,49.60899272,30.20186043,23.55224037,13.96819973,40.23559952,0.450668603,14.33106995
Nayarit,7.236000061,53.09949144,26.96771049,29.43889046,10.47859955,39.58420181,0.441561908,8.50137043
Nuevo Leon,2.726599932,25.09854148,18.80464935,22.2616806,7.479899883,35.38249969,0.374177396,6.317379951
Oaxaca,14.50924969,63.23839588,18.67588997,18.76247978,30.44339943,67.57679749,0.363401592,9.980039597
Puebla,10.94839001,78.05982393,63.85998154,64.89466095,37.86600113,75.79190063,0.396014988,22.48895073
Queretaro,13.30438042,72.9058868,22.87521935,21.0680809,27.39310074,64.14620209,0.385047615,14.03353977
Quintana Roo,7.063099861,42.90793915,23.48244095,23.42238998,20.03440094,53.95370102,0.450912505,20.27025032
San Luis Potosi,13.38484955,76.34648209,63.72858047,70.31889343,37.89680099,76.03610229,0.324257195,9.280460358
Sinaloa,7.636000156,52.55031417,20.64366913,16.88456917,17.79739952,50.97389984,0.418096393,18.65555954
Sonora,4.331830025,47.66136846,41.09846115,38.89936829,9.182900429,34.57730103,0.443493009,11.47799015
Tabasco,4.068830013,37.79121181,25.88767052,24.34383011,6.981599808,30.4279995,0.484705001,8.49022007
Tamaulipas,9.028619766,60.44728135,14.00644016,13.00177956,18.41349983,53.39820099,0.389913887,12.50444031
Tlaxcala,8.670729637,78.72435894,28.13303947,29.28745079,32.0646019,71.83779907,0.319312692,17.06678963
Veracruz de Ignacio de la Llave,14.84418011,54.08104914,57.13763046,50.40314102,12.55280018,45.61360168,0.376118094,6.409999847
Yucatan,9.839170456,51.45844953,24.18873978,25.72155952,11.59729958,42.80039978,0.361297905,22.79837036
Zacatecas,6.220890045,74.84244162,47.68983841,47.9856987,20.94350052,57.06420135,0.378997713,2.958019972
Aguascalientes,3.744489908,45.33851156,22.33255959,12.02651024,15.08510017,45.70389938,0.458083212,10.49767017
Baja California,2.822920084,33.15863747,29.91463089,30.41757965,11.66530037,42.20830154,0.462136686,9.18680954
Campeche,11.69114971,56.56021094,26.47495079,27.29966927,20.50559998,56.81869888,0.395196289,22.71573067
Coahuila de Zaragoza,8.635310173,38.16286478,20.51991081,20.39006996,11.09860039,41.86320114,0.359676391,7.092199802
Colima,5.286190033,34.8265986,12.80480957,10.39367962,3.301300049,21.06879997,0.408619404,3.653470039
Chiapas,26.63116074,94.21150631,38.50999069,22.46772957,73.72250366,95.36319733,0.308738798,28.0923996
Chihuahua,5.512879848,64.60324782,49.64754868,56.24747849,13.63490009,41.05450058,0.414864987,11.06097984
Distrito Federal,2.149199963,30.67951897,30.75321007,25.67977905,8.244000435,34.45100021,0.405947596,6.624199867
Durango,2.156480074,42.18645528,28.50289917,26.42287064,12.74190044,43.58760071,0.432209194,6.187829971
Guanajuato,10.24862957,56.00101121,29.4822998,24.41423988,24.19459915,61.63000107,0.390091091,14.16956997
Guerrero,19.73244095,84.36189758,29.53141022,32.12556839,38.89260101,74.68930054,0.374266595,17.02626991
Hidalgo,8.427519798,57.37349098,33.39197159,37.20029831,11.48750019,43.32460022,0.358924299,5.363739967
Jalisco,5.490709782,46.14165247,24.34461975,29.89706039,8.302599907,36.05360031,0.421993285,8.042610168
Mexico,9.032919884,50.16607925,32.87031174,25.92802048,18.0576992,49.89970016,0.478798687,12.39433956
Michoacan de Ocampo,9.161549568,57.94764645,41.21471024,36.82537079,20.54059982,55.21509933,0.36176011,10.68976974
Morelos,12.2924099,58.45014082,23.09153938,16.62523079,20.74239922,58.33929825,0.348813802,13.99849033
Nayarit,14.02525043,86.91167207,34.14912033,33.58457947,58.53070068,86.81130219,0.38844949,31.82323074
Nuevo Leon,4.133240223,45.29425966,24.1991291,32.41292191,13.43570042,51.10710144,0.356193304,10.56954956
Oaxaca,16.07818985,54.39329489,42.4174614,45.63698959,16.96890068,49.36349869,0.443378389,10.18892956
Puebla,25.22738075,86.1802056,34.67546082,34.91395187,42.63690186,81.73619843,0.323363394,20.23222923
Queretaro,11.24631977,55.64446627,26.18486977,29.61529922,20.92289925,57.16389847,0.354885012,22.71039963
Quintana Roo,2.769129992,26.34904144,32.02354813,34.36450958,15.06410027,49.10110092,0.408466011,15.18708038
San Luis Potosi,8.54598999,58.40748548,24.55509949,25.43420029,21.68149948,58.86830139,0.412362307,6.647500038
Sinaloa,12.22282982,66.09553989,16.47002029,12.32826042,29.05330086,66.43119812,0.394847095,14.63864994
Sonora,5.128210068,49.19131528,26.33679008,26.19247055,14.03750038,47.14559937,0.420659095,2.594140053
Tabasco,7.592410088,66.11244098,31.53339005,37.24863815,27.15699959,65.26429749,0.415445089,14.6936903
Tamaulipas,6.963309765,64.85037832,33.14448166,36.82712936,24.84690094,62.79370117,0.370191395,8.774009705
Tlaxcala,2.825409889,45.82055072,37.31108856,36.94158936,11.66689968,41.3791008,0.447654486,5.703579903
Veracruz de Ignacio de la Llave,19.68774986,63.97903824,12.75102043,10.47542,20.40679932,58.32220078,0.334109306,5.842060089
Yucatan,14.33288956,43.60909645,7.842179775,7.224709988,21.81310081,60.98490143,0.314294994,22.42152023
Zacatecas,4.634119987,65.60581807,27.3692894,16.48970985,17.11800003,53.4408989,0.380964696,6.435540199
Aguascalientes,4.073820114,46.95832951,18.90497017,14.9547596,15.85809994,50.86940002,0.416903198,6.467669964
Campeche,11.86277962,75.63327048,20.43836021,22.17629051,41.84339905,76.6006012,0.404634207,20.89963913
Coahuila de Zaragoza,2.776560068,31.6805262,17.6618309,17.03013992,10.51509953,44.37200165,0.374298602,4.876259804
Colima,11.00726986,48.84348736,8.886790276,10.23569012,13.70470047,46.44670105,0.420463711,12.54209042
Chiapas,21.12698936,88.94808084,36.31164169,34.08763885,55.42179871,87.27610016,0.347782314,25.01202965
Chihuahua,4.858029842,35.16843601,20.66212082,20.80168915,8.697699547,37.44689941,0.365657598,4.303800106
Distrito Federal,1.767379999,25.52810119,32.3980217,34.56320953,5.837999821,27.54910088,0.410052806,5.160379887
Durango,6.330150127,71.45229474,26.91691971,34.01554871,30.81850052,71.76450348,0.305499494,8.60667038
Guanajuato,19.88727951,77.86006016,6.916220188,6.606339931,50.28900146,84.25849915,0.33284241,17.73756027
Guerrero,18.64999962,74.76463394,74.74372101,86.39048767,40.2154007,71.73149872,0.440790892,24.25782967
Hidalgo,13.34807968,67.68073389,27.61268997,32.29240036,28.90430069,67.46440125,0.403465807,8.304070473
Jalisco,5.19148016,48.79698724,32.11022186,33.05031967,12.67380047,45.60919952,0.419468105,6.46502018
Mexico,4.72492981,45.45529031,43.76263046,35.74457169,10.36569977,37.69290161,0.4256818,11.4202404
Michoacan de Ocampo,11.29535007,58.40719872,57.37855148,57.25484085,26.53510094,65.87190247,0.397863686,15.29718018
Morelos,6.010499954,44.75537247,37.77988052,39.77494812,14.94069958,46.50139999,0.418267906,11.50924015
Nayarit,6.386919975,50.94502046,26.58674049,23.40851021,18.66830063,54.06529999,0.423440605,3.221460104
Nuevo Leon,1.090870023,18.00864804,17.26292992,15.67545033,6.671700001,34.0766983,0.382719606,2.720570087
Oaxaca,9.351099968,64.93309169,39.56229019,38.93243027,25.05489922,57.7317009,0.453660011,17.12093925
Puebla,36.52893829,87.04828701,34.47879028,27.87035942,57.41379929,88.27410126,0.328559697,25.93799019
Queretaro,3.206530094,18.67069791,25.24584961,21.46822929,4.101799965,22.82719994,0.42801559,1.679870009
Quintana Roo,13.63150024,73.22125602,20.5257206,16.0156498,46.17839813,79.63179779,0.396780193,32.34885025
San Luis Potosi,12.93941975,64.25290594,19.6068306,15.74363041,30.18260002,68.78720093,0.35460481,8.16217041
Sinaloa,3.73883009,29.81062242,25.52275085,24.73457909,9.497799873,39.14580154,0.407484204,6.179240227
Sonora,3.747800112,49.75081691,17.9453392,18.1417408,9.023500443,37.86130142,0.390830189,3.797899961
Tabasco,7.740570068,62.51959925,30.09667015,28.6014595,21.57959938,59.40029907,0.386322886,7.180860043
Tamaulipas,19.3822403,84.92507651,9.546879768,5.972370148,50.62850189,84.58570099,0.338573188,13.96523952
Tlaxcala,4.670080185,62.00048275,27.15646935,25.28681946,19.23189926,57.26269913,0.376551509,11.41275024
Veracruz de Ignacio de la Llave,14.31507969,68.94287226,51.75701904,50.47135925,36.65299988,73.11289978,0.385710299,18.50598907
Yucatan,15.84255028,80.50286139,13.19902992,13.54473972,32.22829819,70.70600128,0.374126405,23.29154015
Zacatecas,5.062200069,67.58101523,26.6051693,25.44499969,14.80519962,48.63209915,0.417694002,6.663619995
Aguascalientes,4.637639999,56.13620421,19.50118065,15.71273994,23.40929985,60.59830093,0.428327411,11.6823101
Campeche,11.44330025,62.69811914,12.09290981,10.99829006,26.29700089,61.66059875,0.458683401,25.13895035
Coahuila de Zaragoza,5.364880085,43.72499715,15.75347996,15.50619984,11.89920044,37.71770096,0.471715689,12.38665962
Colima,4.280119896,31.72540148,18.43638039,18.53231049,13.23110008,45.99219894,0.3936508,12.53687954
Chiapas,32.88473129,94.93743429,81.45050049,85.40074158,72.8667984,94.92680359,0.32227689,32.62585831
Chihuahua,27.14259911,85.68307803,62.47737122,47.94168091,43.71139908,75.46520233,0.414999098,25.21257019
Distrito Federal,2.778049946,37.36896511,38.30176163,37.62432098,10.96780014,39.52019882,0.417052686,9.027440071
Durango,2.42001009,38.80470584,25.13408089,27.03779984,11.84819984,44.16680145,0.408293813,6.634570122
Guanajuato,5.420430183,39.55080918,35.8094101,32.56869125,15.04990005,46.51979828,0.464984506,6.925139904
Guerrero,16.60873032,61.00217221,49.11283112,56.95901108,36.08359909,72.40319824,0.426470011,26.21915054
Hidalgo,10.28962994,63.84687176,19.39082909,19.16406059,19.88019943,58.51910019,0.328095108,11.82826042
Jalisco,5.025290012,54.69731052,16.47932053,14.55690002,10.17650032,40.09140015,0.38964501,5.077879906
Mexico,14.46607971,71.00371239,27.94734955,26.23423958,36.78779984,74.24440002,0.382990301,15.30012035
Michoacan de Ocampo,11.81357002,68.38731751,30.39155006,29.45609093,31.45910072,68.1536026,0.377849787,13.36828041
Morelos,3.144619942,26.46811172,34.0169487,29.94193077,8.479000092,32.94100189,0.429118603,5.29117012
Nayarit,8.34869957,67.7783891,17.67431068,18.20236969,26.0916996,58.98649979,0.410642713,17.09952927
Nuevo Leon,10.60564041,69.18078106,9.347120285,6.401080132,35.39009857,72.33540344,0.377952307,13.61917973
Oaxaca,34.73022842,92.31876087,73.27718353,76.58413696,54.77330017,87.74279785,0.304977,18.79982948
Puebla,21.88969994,86.10297661,38.90684891,39.04109955,49.36709976,84.92559814,0.306575805,24.77664948
Queretaro,10.6613903,62.68709596,34.32836151,33.20220947,18.06769943,51.8572998,0.427949488,12.27820969
Quintana Roo,12.47332001,71.22662254,26.27403069,24.50861931,38.92910004,73.85559845,0.433413386,35.34138107
San Luis Potosi,7.718709946,62.29779384,11.91236019,10.02956963,16.26619911,48.63800049,0.393225104,11.3315897
Sinaloa,14.20786953,79.06771621,23.80447006,19.31711006,36.49629974,73.58209991,0.377571791,20.05714035
Sonora,2.614379883,47.81665592,24,24.29751968,6.567500114,32.47639847,0.390841603,0.991739988
Tabasco,7.344470024,65.94147653,15.64468956,14.13195038,19.66589928,57.82889938,0.429513901,16.48123932
Tamaulipas,5.659840107,44.32183358,42.75094986,47.41706848,5.681099892,26.49169922,0.430788189,5.484350204
Tlaxcala,13.89223957,89.77062902,18.74674988,19.5397892,31.43420029,69.06809998,0.354482204,26.48106003
Veracruz de Ignacio de la Llave,11.59609032,75.52046608,30.18959045,33.42123032,24.28000069,63.95119858,0.357057899,11.63481045
Yucatan,13.07645988,59.54078747,23.13903999,15.64727974,12.66349983,47.37620163,0.331522286,15.64727974
Zacatecas,5.482890129,44.90538024,23.47887039,31.60585022,7.143000126,31.14229965,0.440118015,6.456429958
Aguascalientes,3.421289921,66.61941858,9.534529686,9.661970139,19.24419975,53.02180099,0.387633204,9.126759529
Baja California Sur,2.858629942,28.53370579,26.85932922,29.71920013,9.615300179,35.34550095,0.440009594,14.90649986
Campeche,13.31243038,64.13201158,16.65982056,14.19575024,24.28730011,61.95619965,0.362816215,29.68984032
Coahuila de Zaragoza,4.245059967,43.95375878,28.57634926,29.06771088,11.78419971,44.80680084,0.365675002,5.813539982
Colima,7.218790054,50.09838215,9.004159927,6.767960072,10.63119984,40.2602005,0.378348887,6.698900223
Chiapas,20.4493103,89.73119896,54.78443909,50.77698135,56.95640182,87.45050049,0.399946988,33.51733017
Chihuahua,37.74940109,91.10262114,42.55675125,48.83572006,64.77359772,91.08429718,0.35531649,32.20122147
Distrito Federal,2.601140022,30.30363329,33.11026001,22.98601913,6.804200172,31.01810074,0.422522098,9.478369713
Durango,3.309010029,66.75359225,49.89720917,53.63576126,16.76549911,53.71009827,0.394699186,7.493879795
Guanajuato,13.19075012,65.71769451,27.6833992,52.9198494,26.71100044,63.65639877,0.411411285,9.92195034
Guerrero,22.24028969,82.62532434,44.67222977,49.48857117,42.04919815,76.92369843,0.399607688,23.37545013
Hidalgo,6.94092989,59.02974973,33.00283813,29.14139938,16.57099915,52.52090073,0.399405092,9.512470245
Jalisco,9.495750427,62.30711223,47.1446991,42.68421173,23.42499924,60.43719864,0.390333086,6.446080208
Mexico,19.14595985,66.88252341,26.05377007,25.40979958,31.7385006,67.26100159,0.451480806,10.55706024
Michoacan de Ocampo,16.69511986,78.81598821,53.36930847,50.74641037,51.3927002,81.06800079,0.399416894,27.80920982
Morelos,6.127110004,36.8709458,35.4123497,31.16747093,11.36999989,41.08309937,0.419918686,11.66769981
Nayarit,3.797689915,37.02925361,22.75263977,23.06229019,8.749099731,37.38240051,0.418931693,6.300859928
Nuevo Leon,3.824939966,47.26671792,19.90459061,20.37652016,5.853899956,30.77910042,0.3734532,9.606869698
Oaxaca,11.42856979,81.34205904,44.06175995,44.24460983,34.99869919,76.86949921,0.286598891,20.50359917
Puebla,10.29432964,62.11486279,60.76313019,59.8576088,26.42690086,65.4016037,0.351161301,11.19933987
Queretaro,14.03316021,67.34451708,30.71665955,25.76692009,33.40230179,71.15380096,0.387775213,9.165260315
Quintana Roo,2.725860119,30.3309874,34.56029129,33.87973022,14.77560043,48.47689819,0.395691097,26.70782089
San Luis Potosi,7.866799831,62.26032655,35.43983841,41.19318008,18.50519943,51.35210037,0.422523409,6.524620056
Sinaloa,8.779930115,56.83920923,23.98908997,19.91785049,22.9211998,61.03079987,0.373872101,19.08065033
Sonora,4.851160049,54.94469048,23.72204971,24,15.02519989,49.14070129,0.368554085,10.85713959
Tabasco,9.845629692,69.88294518,27.1093502,29.74662018,31.6432991,68.32800293,0.422725588,15.2475996
Tamaulipas,9.454549789,73.44297521,18.90119934,18.60354996,35.04750061,73.98770142,0.346507013,16.71006012
Tlaxcala,8.138110161,77.85892068,20.73732948,19.58315086,24.4552002,64.01409912,0.311812907,11.69591045
Veracruz de Ignacio de la Llave,25.82002068,84.1676948,76.73098755,89.15328217,58.08769989,87.70339966,0.376731187,19.53333092
Yucatan,15.64375973,82.13679462,22.78388023,22.84568977,37.33950043,77.47540283,0.305402786,18.78757095
Zacatecas,6.205699921,73.92171132,30.76794052,27.64612961,22.97780037,61.44390106,0.342637211,15.87567043
Aguascalientes,5.850900173,58.65920222,15.45149994,9.111559868,18.69960022,56.04090118,0.348150492,10.41392994
Baja California Sur,3.295320034,53.81362653,23.16884041,18.24941063,4.811399937,20.37739944,0.525251627,14.74446964
Campeche,11.97109032,73.01295219,22.12092018,17.96342087,42.04729843,78.06359863,0.418193489,35.64780045
